Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
36,Male,PhD,Data Analyst/Scientist,12,170000,USA,Asian
54,Female,PhD,Software/Developer,32,191510,USA,White
32,Female,Masters,Other,6,115000,Australia,White
32,Male,Masters,Other,8,121454,USA,White
35,Male,Masters,Software/Developer,8,140000,UK,White
26,Male,High School,Manager/Director/VP,2,40000,Australia,Australian
27,Male,Bachelors,Software/Developer,3,85000,Australia,Asian
36,Male,Masters,Software/Developer,9,150000,UK,White
44,Female,PhD,Data Analyst/Scientist,18,183000,Canada,White
24,Male,PhD,Manager/Director/VP,1,30000,China,White
41,Female,Masters,Software/Developer,12,160000,Canada,Asian
27,Male,Bachelors,Data Analyst/Scientist,2,110000,Australia,White
29,Male,Bachelors,Software/Developer,4,65000,Canada,Asian
25,Female,Bachelors,Data Analyst/Scientist,2,110000,UK,White
36,Male,Bachelors,Manager/Director/VP,6,75000,China,White
29,Female,Bachelors,Software/Developer,4,90000,Canada,Black
26,Male,High School,Manager/Director/VP,2,40000,China,Korean
38,Female,PhD,Data Analyst/Scientist,12,140000,China,White
42,Male,PhD,Data Analyst/Scientist,14,140000,Australia,Asian
31,Other,High School,Software/Developer,8,104127,Australia,White
29,Female,Masters,Data Analyst/Scientist,6,180000,Australia,Asian
30,Male,Bachelors,Manager/Director/VP,6,110000,Australia,Australian
45,Male,Masters,Manager/Director/VP,13,130000,Canada,White
30,Female,Masters,Software/Developer,5,105000,Canada,Asian
49,Female,PhD,Manager/Director/VP,20,200000,UK,White
29,Male,Masters,Manager/Director/VP,4,70000,Canada,Black
29,Female,Bachelors,Marketing/Social Media,3,55000,Canada,White
27,Female,Bachelors,Manager/Director/VP,4,150000,USA,Asian
29,Male,Bachelors,Software/Developer,4,80000,China,White
49,Male,PhD,Other,17,195000,USA,African American
36,Female,Masters,Marketing/Social Media,9,100000,UK,Asian
24,Female,Bachelors,Manager/Director/VP,3,125000,Australia,Australian
24,Female,Bachelors,Software/Developer,2,55000,USA,White
34,Male,Bachelors,Manager/Director/VP,8,104000,China,Korean
36,Male,PhD,Data Analyst/Scientist,12,170000,Canada,Asian
50,Male,PhD,Software/Developer,20,210000,Australia,Asian
43,Male,High School,Software/Developer,22,165919,Australia,White
33,Female,Bachelors,Other,7,130000,USA,Hispanic
28,Female,Bachelors,Sales,2,40000,USA,African American
38,Male,Masters,Manager/Director/VP,14,195000,Canada,Asian
42,Female,Masters,Product/Designer,15,110000,USA,Asian
41,Male,PhD,Data Analyst/Scientist,16,190000,USA,White
41,Female,Masters,Marketing/Social Media,13,131000,China,White
31,Male,Masters,Other,7,140000,USA,Asian
52,Male,PhD,Software/Developer,26,185982,China,Chinese
31,Female,Bachelors,Software/Developer,5,74000,Canada,White
28,Female,Masters,Manager/Director/VP,7,110000,USA,Hispanic
28,Female,Bachelors,Data Analyst/Scientist,3,60000,China,Chinese
29,Male,Bachelors,Manager/Director/VP,6,95000,China,Chinese
45,Female,Bachelors,Other,21,167015,UK,Asian
48,Female,Masters,Software/Developer,23,185038,USA,Hispanic
25,Male,Bachelors,Software/Developer,2,50000,China,White
29,Male,Bachelors,Software/Developer,4,80000,USA,African American
40,Female,Bachelors,Manager/Director/VP,16,215000,Australia,White
40,Female,Bachelors,Manager/Director/VP,16,215000,China,White
34,Male,PhD,Manager/Director/VP,12,170000,USA,White
25,Male,Bachelors,Manager/Director/VP,1,60000,UK,Asian
36,Male,Bachelors,Other,13,143885,China,White
36,Male,Bachelors,IT/Technical Support,7,60000,USA,Asian
33,Male,Masters,Product/Designer,6,90000,China,Korean
36,Male,Bachelors,Software/Developer,12,137878,UK,Mixed
27,Female,Masters,Manager/Director/VP,4,80000,China,White
33,Female,Masters,Manager/Director/VP,11,198000,China,Korean
25,Female,Bachelors,Data Analyst/Scientist,2,110000,USA,Hispanic
42,Male,PhD,Other,14,180000,China,White
31,Female,Bachelors,Marketing/Social Media,4,65000,China,Chinese
41,Male,Masters,Software/Developer,13,170000,China,White
26,Female,Bachelors,Software/Developer,1,35000,Canada,White
45,Female,Bachelors,Other,22,171468,Australia,Asian
26,Male,Bachelors,Data Analyst/Scientist,3,130000,Canada,White
28,Male,Bachelors,Data Analyst/Scientist,4,80000,China,Korean
25,Male,High School,Sales,1,35000,Australia,Australian
32,Female,PhD,Data Analyst/Scientist,9,145000,UK,Asian
42,Male,PhD,Software/Developer,14,170000,China,Korean
27,Male,Bachelors,Software/Developer,2,65000,USA,Hispanic
37,Male,Masters,Manager/Director/VP,11,110000,Australia,Australian
23,Male,Bachelors,Sales,1,35000,Canada,Black
29,Female,Bachelors,Manager/Director/VP,3,55000,UK,Mixed
28,Female,Bachelors,Data Analyst/Scientist,3,60000,UK,Welsh
57,Female,PhD,Software/Developer,33,191790,China,Korean
40,Male,PhD,Data Analyst/Scientist,15,150000,USA,Hispanic
22,Female,High School,Sales,0,25000,USA,Asian
43,Female,PhD,Other,14,190000,USA,African American
36,Male,Bachelors,Manager/Director/VP,6,75000,Canada,White
60,Female,PhD,Software/Developer,34,188651,China,Korean
43,Female,PhD,Manager/Director/VP,14,140000,China,White
26,Female,Bachelors,Software/Developer,1,45000,Australia,Australian
26,Male,High School,Manager/Director/VP,2,40000,China,Korean
36,Male,PhD,Data Analyst/Scientist,11,120000,UK,Mixed
33,Female,Masters,Manager/Director/VP,8,120000,UK,Welsh
29,Male,Bachelors,Software/Developer,3,75000,USA,African American
44,Female,PhD,Software/Developer,11,165000,Canada,Black
31,Male,Bachelors,Other,6,115000,Canada,Asian
48,Male,PhD,Data Analyst/Scientist,18,210000,Australia,White
33,Male,Masters,Manager/Director/VP,11,198000,UK,Mixed
49,Female,Masters,Data Analyst/Scientist,18,150000,Canada,White
27,Male,Bachelors,Software/Developer,4,140000,China,Chinese
33,Male,Bachelors,Manager/Director/VP,9,130000,Australia,White
28,Female,Bachelors,Data Analyst/Scientist,3,65000,UK,White
31,Male,Bachelors,Manager/Director/VP,9,140000,Australia,White
35,Female,Masters,Manager/Director/VP,8,92000,Australia,Australian
39,Female,Masters,Manager/Director/VP,12,150000,Canada,Asian
32,Female,Masters,Other,6,115000,China,White
29,Female,Bachelors,Software/Developer,4,150000,USA,Hispanic
33,Female,Masters,Manager/Director/VP,11,198000,China,White
50,Male,PhD,Other,19,200000,Australia,Australian
32,Male,Bachelors,Manager/Director/VP,7,120000,Australia,Australian
33,Male,Bachelors,Data Analyst/Scientist,4,60000,China,Korean
43,Male,Bachelors,Other,20,142421,Canada,Black
25,Female,Masters,Data Analyst/Scientist,1,100000,UK,Mixed
27,Female,High School,HR/Human Resources,1,32000,USA,Asian
45,Male,PhD,Software/Developer,16,185000,Australia,Australian
43,Female,PhD,Other,14,190000,UK,Mixed
35,Female,PhD,Manager/Director/VP,11,160000,China,Chinese
45,Male,Masters,Manager/Director/VP,14,140000,China,Chinese
32,Female,Masters,Manager/Director/VP,6,77000,Canada,White
44,Female,PhD,Software/Developer,18,161621,USA,Hispanic
39,Female,Bachelors,Manager/Director/VP,16,200000,UK,White
39,Female,PhD,Data Analyst/Scientist,13,145000,UK,Welsh
33,Male,PhD,Manager/Director/VP,10,155000,China,Chinese
33,Male,Bachelors,Data Analyst/Scientist,4,60000,UK,Welsh
26,Female,High School,Sales,1,35000,USA,African American
24,Male,Bachelors,Software/Developer,1,55935,China,Korean
30,Female,High School,Sales,1,26000,UK,Mixed
38,Female,Masters,Manager/Director/VP,10,110000,Canada,Black
32,Male,Bachelors,Manager/Director/VP,6,90000,Australia,Australian
33,Female,Masters,Manager/Director/VP,8,135000,USA,Hispanic
39,Female,Masters,Software/Developer,12,160000,UK,Asian
52,Male,PhD,Software/Developer,27,190596,USA,African American
38,Male,Bachelors,Software/Developer,12,132442,UK,Asian
34,Male,Bachelors,Software/Developer,6,120000,Australia,Asian
33,Female,Bachelors,Manager/Director/VP,6,75000,Canada,White
34,Male,Masters,Software/Developer,8,140000,USA,White
35,Female,Bachelors,Manager/Director/VP,12,190000,USA,Asian
22,Female,High School,HR/Human Resources,0,40000,USA,Hispanic
45,Male,Masters,Manager/Director/VP,13,130000,USA,Hispanic
44,Male,PhD,Data Analyst/Scientist,17,168000,UK,Mixed
25,Male,Bachelors,Manager/Director/VP,1,60000,Canada,Black
30,Male,Masters,Manager/Director/VP,7,120000,USA,White
42,Female,Masters,Manager/Director/VP,14,140000,China,White
36,Male,Masters,Manager/Director/VP,11,120000,Canada,Black
38,Male,Masters,HR/Human Resources,8,95000,UK,Welsh
32,Male,Bachelors,Software/Developer,8,180000,USA,Asian
27,Male,Bachelors,Software/Developer,2,70000,Australia,Australian
29,Female,Masters,Data Analyst/Scientist,6,180000,Canada,Asian
31,Male,Masters,Software/Developer,7,140000,UK,Mixed
32,Male,PhD,Data Analyst/Scientist,9,140000,China,Chinese
28,Male,Masters,Other,4,90452,USA,Hispanic
31,Female,High School,Sales,3,40000,UK,Asian
31,Female,Masters,Data Analyst/Scientist,9,195000,UK,Asian
35,Male,PhD,Data Analyst/Scientist,10,130000,Australia,Asian
27,Female,Bachelors,Software/Developer,2,48000,UK,Asian
35,Female,Masters,Data Analyst/Scientist,9,120000,UK,Asian
26,Male,Bachelors,Product/Designer,2,55000,UK,White
30,Female,High School,Sales,1,25000,Canada,Black
26,Male,Bachelors,Data Analyst/Scientist,3,130000,China,Chinese
33,Male,PhD,Data Analyst/Scientist,10,150000,Australia,White
24,Female,High School,Customer Service/Receptionist,0,25000,USA,Hispanic
40,Female,PhD,Software/Developer,12,160000,USA,White
32,Female,Masters,Other,5,120000,USA,White
48,Male,PhD,Other,16,190000,USA,White
33,Male,Bachelors,Manager/Director/VP,7,85000,Australia,Asian
23,Male,High School,Sales,1,26000,USA,Hispanic
27,Male,Bachelors,Software/Developer,2,65000,USA,African American
27,Male,Bachelors,Software/Developer,2,65000,China,White
43,Female,PhD,Manager/Director/VP,15,150000,Canada,Asian
34,Male,Masters,Data Analyst/Scientist,9,125000,China,Chinese
33,Female,Masters,Other,9,126753,Australia,White
34,Male,Bachelors,Manager/Director/VP,9,185000,China,Korean
44,Male,PhD,Data Analyst/Scientist,16,160000,China,White
32,Male,Bachelors,Manager/Director/VP,7,120000,Canada,Asian
34,Male,Bachelors,Software/Developer,4,65000,Canada,White
31,Male,Bachelors,Software/Developer,6,85000,Australia,Asian
39,Male,Bachelors,Manager/Director/VP,10,100000,Australia,Asian
27,Female,Masters,Manager/Director/VP,4,80000,UK,Asian
32,Male,Bachelors,Software/Developer,8,190000,China,Korean
26,Male,Bachelors,Product/Designer,2,55000,USA,African American
26,Male,High School,Sales,1,26000,UK,White
45,Female,PhD,Product/Designer,15,150000,China,Korean
61,Male,PhD,Software/Developer,20,200000,UK,Welsh
27,Female,Bachelors,Other,4,73895,Canada,White
32,Female,Masters,Software/Developer,7,100000,China,Korean
44,Female,PhD,Software/Developer,18,157872,Australia,Asian
30,Male,Masters,Manager/Director/VP,7,120000,Australia,Asian
38,Female,Masters,Manager/Director/VP,10,110000,UK,Welsh
32,Male,Bachelors,Software/Developer,10,190000,China,Korean
39,Female,Masters,Manager/Director/VP,10,110000,UK,Mixed
36,Female,Masters,Manager/Director/VP,11,117000,USA,White
29,Female,Bachelors,Marketing/Social Media,4,65000,Canada,Asian
48,Male,PhD,Software/Developer,26,194638,UK,Asian
43,Male,PhD,Other,17,140000,USA,Hispanic
45,Male,PhD,Other,14,185000,China,Chinese
31,Male,Bachelors,Manager/Director/VP,9,140000,China,Korean
31,Male,High School,HR/Human Resources,2,35000,Australia,White
30,Female,Bachelors,Manager/Director/VP,5,70000,Canada,Asian
35,Female,Bachelors,Manager/Director/VP,8,92000,USA,Asian
45,Female,Masters,Manager/Director/VP,14,140000,UK,Welsh
35,Female,Bachelors,Manager/Director/VP,12,190000,UK,Mixed
25,Female,Masters,HR/Human Resources,1,32000,USA,Asian
32,Male,Masters,Other,8,122354,China,Korean
44,Male,Masters,Other,21,168906,USA,African American
31,Male,Masters,Data Analyst/Scientist,9,185000,China,White
26,Male,Bachelors,Data Analyst/Scientist,2,50000,China,White
44,Male,Masters,Other,11,170000,Canada,White
33,Female,Bachelors,Other,8,124071,China,Korean
29,Male,Bachelors,Software/Developer,3,60000,USA,Hispanic
29,Female,Bachelors,Software/Developer,4,90000,UK,White
27,Male,Bachelors,Software/Developer,4,160000,USA,Asian
34,Male,Bachelors,Manager/Director/VP,8,104000,Canada,White
38,Female,Masters,Manager/Director/VP,14,170000,Australia,Asian
32,Male,Bachelors,Software/Developer,10,190000,Canada,Black
50,Male,Masters,Software/Developer,21,166512,UK,Welsh
49,Male,PhD,Other,17,195000,USA,Asian
27,Male,Bachelors,Software/Developer,3,80000,Australia,Australian
35,Female,Masters,Data Analyst/Scientist,9,120000,China,Chinese
39,Female,Masters,Software/Developer,12,160000,USA,African American
40,Female,Masters,Marketing/Social Media,12,122000,Canada,Black
34,Male,Masters,Data Analyst/Scientist,8,100000,Canada,White
34,Male,PhD,Manager/Director/VP,12,170000,UK,Asian
26,Female,Bachelors,Software/Developer,1,45000,UK,White
38,Female,Masters,Manager/Director/VP,10,110000,Canada,Black
33,Female,Masters,Manager/Director/VP,11,198000,Canada,Black
23,Male,Bachelors,Sales,1,35000,USA,Hispanic
29,Male,Bachelors,Data Analyst/Scientist,4,70000,Canada,White
24,Female,Bachelors,Software/Developer,2,55000,USA,Hispanic
41,Female,PhD,Data Analyst/Scientist,16,200000,USA,African American
38,Male,Masters,Software/Developer,10,155000,UK,Asian
36,Female,PhD,Data Analyst/Scientist,12,170000,USA,African American
27,Male,Bachelors,Product/Designer,2,55000,Australia,Asian
29,Female,Masters,Data Analyst/Scientist,6,180000,UK,Asian
30,Female,PhD,Data Analyst/Scientist,5,180000,Canada,Black
31,Female,Masters,Manager/Director/VP,5,68000,UK,Asian
30,Male,Bachelors,Data Analyst/Scientist,2,40000,Australia,Australian
24,Female,High School,Sales,1,30000,China,Korean
29,Female,Bachelors,Software/Developer,5,80000,Australia,Australian
33,Female,Masters,Manager/Director/VP,8,120000,China,Korean
34,Female,Bachelors,Manager/Director/VP,9,99000,Australia,Asian
31,Female,PhD,Data Analyst/Scientist,8,140000,China,Korean
42,Male,PhD,Data Analyst/Scientist,13,140000,USA,African American
30,Female,Bachelors,IT/Technical Support,3,50000,UK,White
44,Male,PhD,Other,12,170000,Canada,Black
36,Male,Bachelors,Manager/Director/VP,9,110000,UK,Mixed
25,Female,Bachelors,Software/Developer,1,55000,Australia,White
46,Female,Bachelors,Software/Developer,19,150729,USA,Asian
27,Female,Bachelors,Software/Developer,3,70000,Australia,White
29,Female,Masters,Data Analyst/Scientist,4,182000,Australia,Australian
32,Male,Bachelors,Manager/Director/VP,6,75000,UK,Welsh
27,Female,Bachelors,Software/Developer,3,70000,UK,White
29,Male,Bachelors,Software/Developer,4,80000,USA,Hispanic
27,Male,Bachelors,Software/Developer,3,80000,Canada,White
26,Female,Bachelors,Software/Developer,1,35000,UK,White
29,Female,Bachelors,Manager/Director/VP,3,55000,USA,Asian
40,Female,Bachelors,Manager/Director/VP,16,215000,China,White
24,Female,High School,Customer Service/Receptionist,0,25000,Australia,Australian
38,Male,Masters,Other,15,171652,Australia,Asian
33,Female,Masters,Manager/Director/VP,11,195000,Canada,Black
34,Male,PhD,Manager/Director/VP,11,170000,China,White
39,Female,PhD,Data Analyst/Scientist,13,145000,Australia,White
27,Male,Bachelors,Software/Developer,3,80000,China,White
29,Male,Bachelors,Software/Developer,4,140000,Australia,Asian
42,Male,Masters,Software/Developer,13,170000,USA,Asian
29,Female,Bachelors,Manager/Director/VP,3,55000,China,Chinese
25,Female,High School,Sales,1,30000,USA,Asian
25,Female,Bachelors,Data Analyst/Scientist,2,110000,Australia,White
29,Female,Bachelors,Software/Developer,4,140000,China,Chinese
31,Male,High School,Sales,3,50000,UK,Asian
21,Female,High School,Sales,0,25000,China,White
27,Female,Masters,Other,3,100000,UK,Mixed
26,Female,Masters,Software/Developer,2,70000,Canada,White
33,Male,Bachelors,Software/Developer,5,50000,USA,Hispanic
45,Female,Masters,Software/Developer,23,174336,Australia,Asian
27,Female,High School,HR/Human Resources,1,30000,China,White
29,Male,Bachelors,Software/Developer,4,80000,Australia,White
28,Female,Bachelors,Data Analyst/Scientist,3,60000,Australia,Asian
49,Male,PhD,Other,17,195000,Australia,Asian
37,Male,Bachelors,Data Analyst/Scientist,11,160000,China,White
30,Female,Bachelors,Software/Developer,5,90000,USA,White
34,Female,Masters,Manager/Director/VP,12,196000,UK,Asian
32,Male,Bachelors,Software/Developer,10,190000,UK,Mixed
30,Male,Masters,Manager/Director/VP,7,120000,Canada,Asian
52,Male,PhD,Software/Developer,26,185462,Canada,Black
29,Male,Bachelors,Data Analyst/Scientist,4,70000,Canada,White
46,Female,Bachelors,Software/Developer,19,150729,Australia,Asian
33,Male,PhD,Data Analyst/Scientist,8,190000,UK,Mixed
28,Male,Bachelors,Product/Designer,3,60000,Canada,Black
41,Female,Masters,Manager/Director/VP,13,140000,USA,African American
41,Male,Bachelors,Manager/Director/VP,12,120000,USA,White
33,Female,Bachelors,Manager/Director/VP,8,95000,Canada,White
38,Male,Masters,Software/Developer,16,154990,USA,White
29,Female,Masters,Other,5,102868,China,Korean
33,Female,Masters,Manager/Director/VP,11,198000,USA,Hispanic
55,Male,PhD,Software/Developer,18,210000,USA,White
24,Male,Bachelors,Data Analyst/Scientist,2,95000,UK,White
32,Male,Bachelors,Manager/Director/VP,6,72000,Canada,Asian
27,Male,Bachelors,Software/Developer,3,80000,UK,Mixed
37,Male,Masters,Software/Developer,9,150000,China,Korean
43,Female,PhD,Other,14,190000,USA,African American
48,Male,PhD,Other,16,190000,Canada,Black
38,Male,Bachelors,Software/Developer,11,155000,Canada,Asian
27,Female,Bachelors,Software/Developer,2,36000,Australia,Asian
45,Male,PhD,Other,16,185000,Australia,White
28,Male,Bachelors,Product/Designer,3,60000,UK,Welsh
41,Female,Masters,Manager/Director/VP,13,140000,China,Chinese
34,Male,Masters,Data Analyst/Scientist,8,100000,Canada,Black
46,Male,Masters,Manager/Director/VP,14,140000,China,Korean
62,Male,PhD,Software/Developer,20,200000,Canada,Asian
41,Female,Masters,Data Analyst/Scientist,14,100000,USA,White
48,Male,PhD,Other,16,190000,China,Korean
28,Female,Bachelors,Data Analyst/Scientist,3,60000,Canada,Asian
36,Female,PhD,Data Analyst/Scientist,12,170000,China,White
42,Female,Masters,Manager/Director/VP,12,120000,Canada,White
49,Male,Bachelors,Other,22,181132,China,Korean
30,Female,PhD,Data Analyst/Scientist,7,185000,USA,Asian
44,Female,PhD,Data Analyst/Scientist,15,150000,UK,White
33,Female,Masters,Manager/Director/VP,9,130000,USA,Asian
22,Female,High School,Software/Developer,0,51832,USA,White
37,Male,Bachelors,Software/Developer,10,150000,UK,Asian
28,Female,High School,Sales,1,30000,UK,Welsh
33,Female,Masters,Manager/Director/VP,11,198000,Canada,White
28,Female,Bachelors,Marketing/Social Media,3,60000,Australia,Asian
32,Male,Masters,Software/Developer,6,130000,Australia,Australian
26,Female,Bachelors,Software/Developer,1,35000,UK,Mixed
34,Male,Bachelors,Manager/Director/VP,9,185000,China,Chinese
24,Female,Bachelors,Software/Developer,1,40000,UK,Welsh
29,Female,High School,Sales,1,25000,Canada,Asian
28,Male,Bachelors,Software/Developer,2,45000,China,White
37,Male,Bachelors,Data Analyst/Scientist,11,160000,USA,African American
37,Male,Bachelors,Data Analyst/Scientist,11,160000,UK,Mixed
27,Male,Bachelors,Software/Developer,4,140000,USA,White
30,Female,PhD,Data Analyst/Scientist,7,185000,China,Chinese
44,Male,Bachelors,Software/Developer,13,130000,Canada,White
45,Male,PhD,Manager/Director/VP,12,120000,USA,Asian
23,Male,High School,Sales,1,26000,USA,Hispanic
47,Male,Masters,Manager/Director/VP,19,170000,UK,White
31,Female,PhD,Data Analyst/Scientist,8,120000,Canada,Black
38,Male,Masters,Manager/Director/VP,12,120000,UK,White
25,Female,Masters,Software/Developer,2,60000,Canada,White
28,Male,Bachelors,Data Analyst/Scientist,4,80000,China,Korean
26,Female,High School,Software/Developer,1,35000,Canada,White
26,Male,High School,Sales,2,31000,USA,White
33,Female,Masters,Manager/Director/VP,9,135000,Australia,White
36,Female,PhD,Data Analyst/Scientist,12,160000,USA,White
38,Male,Bachelors,Manager/Director/VP,11,119000,USA,African American
27,Female,Masters,Software/Developer,2,70000,UK,Mixed
31,Male,Bachelors,Manager/Director/VP,9,140000,China,Chinese
27,Male,Bachelors,Data Analyst/Scientist,2,50000,USA,African American
33,Female,Masters,Manager/Director/VP,9,130000,China,White
43,Male,Bachelors,Manager/Director/VP,14,130000,China,Chinese
39,Female,Bachelors,IT/Technical Support,11,70000,USA,Asian
27,Male,Bachelors,Software/Developer,3,60000,China,Korean
29,Female,Masters,Data Analyst/Scientist,6,180000,USA,Hispanic
28,Male,Masters,Manager/Director/VP,3,130000,UK,Mixed
28,Female,Bachelors,Software/Developer,5,150000,UK,Asian
46,Male,PhD,Software/Developer,16,185000,China,Chinese
30,Female,Masters,Software/Developer,5,105000,Australia,Asian
31,Female,Bachelors,Software/Developer,6,104378,USA,Asian
28,Female,Bachelors,Software/Developer,5,160000,Canada,Asian
24,Female,High School,Other,1,52731,Canada,Black
27,Female,Masters,Other,3,95000,USA,African American
29,Female,Masters,Software/Developer,3,90000,UK,Mixed
25,Male,Bachelors,Manager/Director/VP,1,60000,USA,African American
32,Male,Bachelors,Manager/Director/VP,7,120000,UK,Mixed
44,Male,PhD,Data Analyst/Scientist,15,150000,Australia,Australian
32,Female,Masters,Other,6,115000,Australia,White
32,Female,PhD,Data Analyst/Scientist,9,145000,China,White
26,Male,High School,Manager/Director/VP,2,40000,China,Korean
36,Male,Masters,Other,13,146351,China,Chinese
34,Male,Masters,Data Analyst/Scientist,9,140000,USA,Hispanic
41,Male,Masters,Software/Developer,11,165000,Australia,Australian
30,Male,Masters,Other,5,105000,USA,African American
28,Female,Masters,Manager/Director/VP,7,110000,UK,Mixed
30,Male,Masters,Software/Developer,6,170000,Canada,Black
43,Male,PhD,Data Analyst/Scientist,16,162000,Canada,Black
29,Female,Bachelors,Marketing/Social Media,4,65000,UK,Asian
31,Female,Masters,Manager/Director/VP,8,120000,Canada,Black
54,Male,PhD,Software/Developer,17,195000,China,White
28,Female,Bachelors,Data Analyst/Scientist,3,65000,China,White
50,Female,Masters,Software/Developer,21,177002,Canada,Black
29,Female,Bachelors,Manager/Director/VP,3,55000,China,Chinese
27,Male,Bachelors,Software/Developer,3,80000,China,Chinese
31,Female,Masters,Data Analyst/Scientist,6,170000,Canada,Black
27,Female,Masters,Manager/Director/VP,4,80000,Canada,Black
25,Male,High School,Sales,1,30000,Australia,White
33,Female,Bachelors,Other,6,115000,USA,Hispanic
31,Male,High School,Sales,3,40000,China,Chinese
34,Male,Bachelors,Manager/Director/VP,9,185000,Australia,Asian
46,Male,Bachelors,Other,25,166958,UK,Welsh
27,Male,Bachelors,Software/Developer,3,75000,Canada,Asian
35,Female,Bachelors,Data Analyst/Scientist,8,85000,Canada,Asian
37,Male,Bachelors,Data Analyst/Scientist,11,160000,USA,White
23,Female,Bachelors,Software/Developer,1,50000,Canada,White
27,Male,Bachelors,Data Analyst/Scientist,2,50000,Australia,Australian
30,Female,PhD,Data Analyst/Scientist,7,185000,Canada,Asian
26,Male,Bachelors,Data Analyst/Scientist,3,120000,China,Chinese
45,Female,Masters,Manager/Director/VP,16,180000,UK,Welsh
36,Male,PhD,Data Analyst/Scientist,11,135000,Canada,Black
34,Male,PhD,Manager/Director/VP,11,160000,Australia,Australian
27,Male,Bachelors,Software/Developer,2,70000,USA,African American
29,Female,Bachelors,Software/Developer,4,140000,USA,African American
34,Male,Masters,Software/Developer,8,140000,Australia,White
26,Male,Bachelors,Data Analyst/Scientist,3,120000,UK,Welsh
58,Male,PhD,Software/Developer,17,200000,Canada,Black
44,Male,PhD,Data Analyst/Scientist,15,150000,China,White
33,Female,Masters,Software/Developer,9,121432,Canada,White
40,Female,PhD,Software/Developer,12,160000,China,Korean
34,Female,Bachelors,Manager/Director/VP,6,75000,Australia,White
27,Female,Bachelors,Software/Developer,3,70000,UK,Mixed
29,Male,Bachelors,Data Analyst/Scientist,4,75000,China,Chinese
32,Male,Bachelors,Software/Developer,6,110000,Canada,Black
52,Male,PhD,Software/Developer,27,190596,UK,Asian
31,Female,Masters,Manager/Director/VP,8,120000,Australia,Australian
37,Male,Bachelors,Data Analyst/Scientist,11,160000,USA,Asian
28,Female,Masters,HR/Human Resources,2,45000,USA,White
24,Male,Bachelors,Data Analyst/Scientist,2,95000,Canada,White
